INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2020.01.03,감자,15200,감자,0,특,20,20kg상자,47000,58000,52583,52583,0,"53,852(97.6%)","67,236(78.2%)"
2020.01.03,감자,15200,감자,1,상,20,20kg상자,20000,47000,26131,26131,0,"29,499(88.6%)","50,947(51.3%)"
2020.01.03,감자,15200,감자,2,보통,20,20kg상자,13000,20000,17144,17144,0,"15,897(107.8%)","32,955(52%)"
2020.01.03,감자,15200,감자,3,하,20,20kg상자,1000,13000,7467,7467,0,"6,169(121%)","16,187(46.1%)"
2020.01.04,감자,15200,감자,0,특,20,20kg상자,48000,63000,57854,5271,"52,583(110%)","53,733(107.7%)","63,446(91.2%)"
2020.01.04,감자,15200,감자,1,상,20,20kg상자,22500,48000,31755,5624,"26,131(121.5%)","30,032(105.7%)","47,858(66.4%)"
2020.01.04,감자,15200,감자,2,보통,20,20kg상자,15000,22500,18652,1508,"17,144(108.8%)","16,580(112.5%)","31,792(58.7%)"
2020.01.04,감자,15200,감자,3,하,20,20kg상자,1500,15000,8331,864,"7,467(111.6%)","6,691(124.5%)","14,997(55.6%)"
2020.01.06,감자,15200,감자,0,특,20,20kg상자,51000,63000,57241,-613,"57,854(98.9%)","53,922(106.2%)","67,554(84.7%)"
2020.01.06,감자,15200,감자,1,상,20,20kg상자,20500,51000,27555,-4200,"31,755(86.8%)","29,424(93.6%)","47,671(57.8%)"
2020.01.06,감자,15200,감자,2,보통,20,20kg상자,13000,20500,17330,-1322,"18,652(92.9%)","17,011(101.9%)","35,606(48.7%)"
2020.01.06,감자,15200,감자,3,하,20,20kg상자,2000,13000,8137,-194,"8,331(97.7%)","7,067(115.1%)","19,051(42.7%)"
2020.01.07,감자,15200,감자,0,특,20,20kg상자,55000,63000,58117,876,"57,241(101.5%)","54,679(106.3%)","63,293(91.8%)"
2020.01.07,감자,15200,감자,1,상,20,20kg상자,20000,55000,28769,1214,"27,555(104.4%)","29,087(98.9%)","48,048(59.9%)"
2020.01.07,감자,15200,감자,2,보통,20,20kg상자,12000,20000,16229,-1101,"17,330(93.6%)","17,165(94.5%)","34,052(47.7%)"
2020.01.07,감자,15200,감자,3,하,20,20kg상자,1000,12000,7332,-805,"8,137(90.1%)","7,340(99.9%)","17,354(42.2%)"
2020.01.08,감자,15200,감자,0,특,20,20kg상자,34000,59000,47224,-10893,"58,117(81.3%)","56,449(83.7%)","57,814(81.7%)"
2020.01.08,감자,15200,감자,1,상,20,20kg상자,17000,34000,21831,-6938,"28,769(75.9%)","28,553(76.5%)","44,349(49.2%)"
2020.01.08,감자,15200,감자,2,보통,20,20kg상자,11000,17000,14150,-2079,"16,229(87.2%)","17,339(81.6%)","33,325(42.5%)"
2020.01.08,감자,15200,감자,3,하,20,20kg상자,1500,11000,6985,-347,"7,332(95.3%)","7,817(89.4%)","17,661(39.6%)"
2020.01.09,감자,15200,감자,0,특,20,20kg상자,50000,64000,55756,8532,"47,224(118.1%)","54,604(102.1%)","53,296(104.6%)"
2020.01.09,감자,15200,감자,1,상,20,20kg상자,16500,50000,24161,2330,"21,831(110.7%)","27,208(88.8%)","42,628(56.7%)"
