INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2025.01.02,감자,15200,감자,0,특,20,20kg상자,52000,58000,56993,56993,0,"52,393(108.8%)",0
2025.01.02,감자,15200,감자,1,상,20,20kg상자,34500,52000,41642,41642,0,"42,125(98.9%)",0
2025.01.02,감자,15200,감자,2,보통,20,20kg상자,24000,34500,30152,30152,0,"31,787(94.9%)",0
2025.01.02,감자,15200,감자,3,하,20,20kg상자,1000,24000,13941,13941,0,"15,359(90.8%)",0
2025.01.03,감자,15200,감자,0,특,20,20kg상자,57000,60000,59554,2561,"56,993(104.5%)","52,789(112.8%)","66,943(89%)"
2025.01.03,감자,15200,감자,1,상,20,20kg상자,38000,57000,44694,3052,"41,642(107.3%)","41,002(109%)","44,910(99.5%)"
2025.01.03,감자,15200,감자,2,보통,20,20kg상자,23500,38000,30919,767,"30,152(102.5%)","30,877(100.1%)","32,529(95.1%)"
2025.01.03,감자,15200,감자,3,하,20,20kg상자,4000,23500,15100,1159,"13,941(108.3%)","14,212(106.2%)","18,203(83%)"
2025.01.04,감자,15200,감자,0,특,20,20kg상자,62000,63000,62209,2655,"59,554(104.5%)","54,731(113.7%)","67,765(91.8%)"
2025.01.04,감자,15200,감자,1,상,20,20kg상자,38000,62000,47635,2941,"44,694(106.6%)","41,660(114.3%)","49,711(95.8%)"
2025.01.04,감자,15200,감자,2,보통,20,20kg상자,24000,38000,32593,1674,"30,919(105.4%)","31,071(104.9%)","33,738(96.6%)"
2025.01.04,감자,15200,감자,3,하,20,20kg상자,5000,24000,16563,1463,"15,100(109.7%)","14,518(114.1%)","15,849(104.5%)"
2025.01.06,감자,15200,감자,0,특,20,20kg상자,62000,63000,62517,308,"62,209(100.5%)","57,241(109.2%)","67,523(92.6%)"
2025.01.06,감자,15200,감자,1,상,20,20kg상자,36500,62000,46769,-866,"47,635(98.2%)","42,820(109.2%)","48,847(95.7%)"
2025.01.06,감자,15200,감자,2,보통,20,20kg상자,23000,36500,31101,-1492,"32,593(95.4%)","30,847(100.8%)","33,001(94.2%)"
2025.01.06,감자,15200,감자,3,하,20,20kg상자,5000,23000,14556,-2007,"16,563(87.9%)","14,622(99.5%)","16,830(86.5%)"
2025.01.07,감자,15200,감자,0,특,20,20kg상자,62000,64000,63130,613,"62,517(101%)","59,653(105.8%)","67,523(93.5%)"
2025.01.07,감자,15200,감자,1,상,20,20kg상자,35000,62000,45898,-871,"46,769(98.1%)","44,476(103.2%)","48,847(94%)"
2025.01.07,감자,15200,감자,2,보통,20,20kg상자,22000,35000,27802,-3299,"31,101(89.4%)","30,983(89.7%)","33,001(84.2%)"
2025.01.07,감자,15200,감자,3,하,20,20kg상자,4000,22000,13334,-1222,"14,556(91.6%)","14,820(90%)","16,830(79.2%)"
2025.01.08,감자,15200,감자,0,특,20,20kg상자,65000,66500,65450,2320,"63,130(103.7%)","60,881(107.5%)","67,832(96.5%)"
2025.01.08,감자,15200,감자,1,상,20,20kg상자,37000,65000,51369,5471,"45,898(111.9%)","45,328(113.3%)","47,800(107.5%)"
2025.01.08,감자,15200,감자,2,보통,20,20kg상자,20000,37000,29270,1468,"27,802(105.3%)","30,513(95.9%)","32,339(90.5%)"
2025.01.08,감자,15200,감자,3,하,20,20kg상자,2500,20000,12012,-1322,"13,334(90.1%)","14,699(81.7%)","16,301(73.7%)"
2025.01.09,감자,15200,감자,0,특,20,20kg상자,65000,68000,67093,1643,"65,450(102.5%)","61,642(108.8%)","67,003(100.1%)"
2025.01.09,감자,15200,감자,1,상,20,20kg상자,39000,65000,53089,1720,"51,369(103.3%)","46,335(114.6%)","48,020(110.6%)"
2025.01.09,감자,15200,감자,2,보통,20,20kg상자,22500,39000,29936,666,"29,270(102.3%)","30,306(98.8%)","32,918(90.9%)"
2025.01.09,감자,15200,감자,3,하,20,20kg상자,3000,22500,14849,2837,"12,012(123.6%)","14,251(104.2%)","17,806(83.4%)"
2025.01.10,감자,15200,감자,0,특,20,20kg상자,66000,69000,67832,739,"67,093(101.1%)","63,326(107.1%)","67,646(100.3%)"
2025.01.10,감자,15200,감자,1,상,20,20kg상자,40000,66000,52082,-1007,"53,089(98.1%)","48,242(108%)","49,683(104.8%)"
2025.01.10,감자,15200,감자,2,보통,20,20kg상자,25000,40000,31358,1422,"29,936(104.8%)","30,270(103.6%)","33,584(93.4%)"
2025.01.10,감자,15200,감자,3,하,20,20kg상자,6500,25000,14336,-513,"14,849(96.5%)","14,402(99.5%)","17,078(83.9%)"
2025.01.11,감자,15200,감자,0,특,20,20kg상자,73000,75000,74333,6501,"67,832(109.6%)","64,705(114.9%)","66,127(112.4%)"
2025.01.11,감자,15200,감자,1,상,20,20kg상자,38000,73000,52490,408,"52,082(100.8%)","49,474(106.1%)","43,752(120%)"
2025.01.11,감자,15200,감자,2,보통,20,20kg상자,22000,38000,31482,124,"31,358(100.4%)","30,343(103.8%)","30,016(104.9%)"
2025.01.11,감자,15200,감자,3,하,20,20kg상자,6000,22000,14920,584,"14,336(104.1%)","14,275(104.5%)","17,816(83.7%)"
2025.01.13,감자,15200,감자,0,특,20,20kg상자,88500,92000,90474,16141,"74,333(121.7%)","66,726(135.6%)","70,228(128.8%)"
2025.01.13,감자,15200,감자,1,상,20,20kg상자,39000,88500,58628,6138,"52,490(111.7%)","50,283(116.6%)","45,725(128.2%)"
2025.01.13,감자,15200,감자,2,보통,20,20kg상자,24000,39000,31926,444,"31,482(101.4%)","30,158(105.9%)","27,916(114.4%)"
2025.01.13,감자,15200,감자,3,하,20,20kg상자,4500,24000,14890,-30,"14,920(99.8%)","14,001(106.3%)","12,208(122%)"
2025.01.14,감자,15200,감자,0,특,20,20kg상자,90000,92000,91183,709,"90,474(100.8%)","71,385(127.7%)","70,228(129.8%)"
2025.01.14,감자,15200,감자,1,상,20,20kg상자,55000,90000,76749,18121,"58,628(130.9%)","52,259(146.9%)","45,725(167.8%)"
2025.01.14,감자,15200,감자,2,보통,20,20kg상자,25500,55000,38057,6131,"31,926(119.2%)","30,296(125.6%)","27,916(136.3%)"
2025.01.14,감자,15200,감자,3,하,20,20kg상자,2000,25500,16605,1715,"14,890(111.5%)","14,057(118.1%)","12,208(136%)"
2025.01.15,감자,15200,감자,0,특,20,20kg상자,85000,87000,85701,-5482,"91,183(94%)","76,061(112.7%)","72,325(118.5%)"
2025.01.15,감자,15200,감자,1,상,20,20kg상자,50000,85000,69472,-7277,"76,749(90.5%)","57,401(121%)","46,685(148.8%)"
2025.01.15,감자,15200,감자,2,보통,20,20kg상자,30000,50000,38116,59,"38,057(100.2%)","32,005(119.1%)","31,718(120.2%)"
2025.01.15,감자,15200,감자,3,하,20,20kg상자,3000,30000,17431,826,"16,605(105%)","14,602(119.4%)","15,849(110%)"
2025.01.16,감자,15200,감자,0,특,20,20kg상자,80000,81000,80839,-4862,"85,701(94.3%)","79,436(101.8%)","67,066(120.5%)"
2025.01.16,감자,15200,감자,1,상,20,20kg상자,49000,80000,64667,-4805,"69,472(93.1%)","60,418(107%)","49,575(130.4%)"
2025.01.16,감자,15200,감자,2,보통,20,20kg상자,28500,49000,38080,-36,"38,116(99.9%)","33,479(113.7%)","30,912(123.2%)"
2025.01.16,감자,15200,감자,3,하,20,20kg상자,5000,28500,18158,727,"17,431(104.2%)","15,505(117.1%)","16,617(109.3%)"
2025.01.17,감자,15200,감자,0,특,20,20kg상자,81000,81000,81000,161,"80,839(100.2%)","81,727(99.1%)","62,067(130.5%)"
2025.01.17,감자,15200,감자,1,상,20,20kg상자,39000,81000,57968,-6699,"64,667(89.6%)","62,348(93%)","41,831(138.6%)"
2025.01.17,감자,15200,감자,2,보통,20,20kg상자,23000,39000,32039,-6041,"38,080(84.1%)","34,837(92%)","28,124(113.9%)"
2025.01.17,감자,15200,감자,3,하,20,20kg상자,3000,23000,14549,-3609,"18,158(80.1%)","16,057(90.6%)","15,274(95.3%)"
2025.01.18,감자,15200,감자,0,특,20,20kg상자,62000,82000,80030,-970,"81,000(98.8%)","83,922(95.4%)","73,010(109.6%)"
2025.01.18,감자,15200,감자,1,상,20,20kg상자,33000,62000,42922,-15046,"57,968(74%)","63,329(67.8%)","51,005(84.2%)"
2025.01.18,감자,15200,감자,2,보통,20,20kg상자,15500,33000,25599,-6440,"32,039(79.9%)","34,950(73.2%)","35,022(73.1%)"
2025.01.18,감자,15200,감자,3,하,20,20kg상자,3000,15500,10278,-4271,"14,549(70.6%)","16,092(63.9%)","15,966(64.4%)"
2025.01.20,감자,15200,감자,0,특,20,20kg상자,77000,82000,79383,-647,"80,030(99.2%)","84,871(93.5%)","73,954(107.3%)"
2025.01.20,감자,15200,감자,1,상,20,20kg상자,45000,77000,59142,16220,"42,922(137.8%)","61,734(95.8%)","53,340(110.9%)"
2025.01.20,감자,15200,감자,2,보통,20,20kg상자,21000,45000,31297,5698,"25,599(122.3%)","33,970(92.1%)","29,319(106.7%)"
2025.01.20,감자,15200,감자,3,하,20,20kg상자,2000,21000,12346,2068,"10,278(120.1%)","15,319(80.6%)","16,236(76%)"
2025.01.21,감자,15200,감자,0,특,20,20kg상자,72000,80000,77199,-2184,"79,383(97.2%)","83,023(93%)","73,954(104.4%)"
2025.01.21,감자,15200,감자,1,상,20,20kg상자,38000,72000,54446,-4696,"59,142(92.1%)","61,820(88.1%)","53,340(102.1%)"
2025.01.21,감자,15200,감자,2,보통,20,20kg상자,23000,38000,28809,-2488,"31,297(92.1%)","33,865(85.1%)","29,319(98.3%)"
2025.01.21,감자,15200,감자,3,하,20,20kg상자,1000,23000,12899,553,"12,346(104.5%)","14,895(86.6%)","16,236(79.4%)"
2025.01.22,감자,15200,감자,0,특,20,20kg상자,68500,73000,72489,-4710,"77,199(93.9%)","80,692(89.8%)","75,128(96.5%)"
2025.01.22,감자,15200,감자,1,상,20,20kg상자,32000,68500,49342,-5104,"54,446(90.6%)","58,103(84.9%)","51,811(95.2%)"
2025.01.22,감자,15200,감자,2,보통,20,20kg상자,18500,32000,25093,-3716,"28,809(87.1%)","32,323(77.6%)","29,096(86.2%)"
2025.01.22,감자,15200,감자,3,하,20,20kg상자,1000,18500,10972,-1927,"12,899(85.1%)","14,277(76.9%)","17,405(63%)"
2025.01.23,감자,15200,감자,0,특,20,20kg상자,63000,78000,68076,-4413,"72,489(93.9%)","78,490(86.7%)","68,557(99.3%)"
2025.01.23,감자,15200,감자,1,상,20,20kg상자,28000,63000,38016,-11326,"49,342(77%)","54,748(69.4%)","58,979(64.5%)"
2025.01.23,감자,15200,감자,2,보통,20,20kg상자,16000,28000,22338,-2755,"25,093(89%)","30,153(74.1%)","37,825(59.1%)"
2025.01.23,감자,15200,감자,3,하,20,20kg상자,2000,16000,9347,-1625,"10,972(85.2%)","13,200(70.8%)","17,121(54.6%)"
2025.01.24,감자,15200,감자,0,특,20,20kg상자,64000,76000,72058,3982,"68,076(105.8%)","76,363(94.4%)","63,861(112.8%)"
2025.01.24,감자,15200,감자,1,상,20,20kg상자,33000,64000,41552,3536,"38,016(109.3%)","50,306(82.6%)","57,297(72.5%)"
2025.01.24,감자,15200,감자,2,보통,20,20kg상자,22000,33000,27681,5343,"22,338(123.9%)","27,529(100.6%)","38,694(71.5%)"
2025.01.24,감자,15200,감자,3,하,20,20kg상자,2000,22000,13004,3657,"9,347(139.1%)","11,732(110.8%)","17,750(73.3%)"
2025.01.25,감자,15200,감자,0,특,20,20kg상자,70000,76000,73181,1123,"72,058(101.6%)","74,873(97.7%)","65,449(111.8%)"
2025.01.25,감자,15200,감자,1,상,20,20kg상자,45000,70000,57348,15796,"41,552(138%)","47,570(120.6%)","53,309(107.6%)"
2025.01.25,감자,15200,감자,2,보통,20,20kg상자,27000,45000,35002,7321,"27,681(126.4%)","26,803(130.6%)","33,988(103%)"
2025.01.25,감자,15200,감자,3,하,20,20kg상자,2000,27000,14742,1738,"13,004(113.4%)","11,474(128.5%)","17,793(82.9%)"
2025.01.27,감자,15200,감자,0,특,20,20kg상자,68000,68000,68000,-5181,"73,181(92.9%)","73,731(92.2%)","63,375(107.3%)"
