지역,날짜,오전날씨,오후날씨,최저기온,최고기온,오전강수확률,오후강수확률
양구,2026-06-17,오전 날씨 맑음,오후 날씨 소나기,15,26,0%,60%
양구,2026-06-18,오전 날씨 맑음,오후 날씨 맑음,15,27,0%,0%
양구,2026-06-19,오전 날씨 흐림,오후 날씨 흐림,16,27,30%,30%
양구,2026-06-20,오전 날씨 구름많음,오후 날씨 흐림,19,26,20%,30%
양구,2026-06-21,오전 날씨 구름많음,오후 날씨 구름많음,18,26,20%,20%
양구,2026-06-22,오전 날씨 구름많음,오후 날씨 구름많음,15,26,20%,20%
양구,2026-06-23,오전 날씨 구름많음,오후 날씨 구름많음,15,26,20%,20%
양구,2026-06-24,날씨 구름많음,날씨 구름많음,15,26,20%,20%
양구,2026-06-25,날씨 맑음,날씨 맑음,15,25,10%,10%
양구,2026-06-26,날씨 구름많음,날씨 구름많음,15,26,20%,20%
진부,2026-06-17,오전 날씨 맑음,오후 날씨 소나기,13,28,10%,60%
진부,2026-06-18,오전 날씨 구름많음,오후 날씨 맑음,15,28,10%,10%
진부,2026-06-19,오전 날씨 흐림,오후 날씨 흐림,16,28,30%,30%
진부,2026-06-20,오전 날씨 구름많음,오후 날씨 흐림,19,27,20%,30%
진부,2026-06-21,오전 날씨 구름많음,오후 날씨 구름많음,18,26,20%,20%
진부,2026-06-22,오전 날씨 구름많음,오후 날씨 구름많음,16,26,20%,20%
진부,2026-06-23,오전 날씨 구름많음,오후 날씨 구름많음,15,26,20%,20%
진부,2026-06-24,날씨 구름많음,날씨 구름많음,14,26,20%,20%
진부,2026-06-25,날씨 맑음,날씨 맑음,16,26,10%,10%
진부,2026-06-26,날씨 구름많음,날씨 구름많음,16,27,20%,20%
보성,2026-06-17,오전 날씨 구름많음,오후 날씨 소나기,20,28,20%,60%
보성,2026-06-18,오전 날씨 구름많음,오후 날씨 흐림,20,29,20%,30%
보성,2026-06-19,오전 날씨 흐림,오후 날씨 흐림,21,27,30%,30%
보성,2026-06-20,오전 날씨 흐림,오후 날씨 흐림,21,26,40%,40%
보성,2026-06-21,오전 날씨 구름많음,오후 날씨 구름많음,19,27,20%,20%
보성,2026-06-22,오전 날씨 구름많음,오후 날씨 구름많음,18,26,20%,20%
보성,2026-06-23,오전 날씨 구름많음,오후 날씨 구름많음,17,25,20%,20%
보성,2026-06-24,날씨 구름많음,날씨 구름많음,17,26,20%,20%
보성,2026-06-25,날씨 맑음,날씨 맑음,17,26,10%,10%
보성,2026-06-26,날씨 구름많음,날씨 구름많음,17,26,20%,20%
영광,2026-06-17,오전 날씨 흐림,오후 날씨 소나기,20,29,30%,60%
영광,2026-06-18,오전 날씨 구름많음,오후 날씨 흐림,20,29,20%,30%
영광,2026-06-19,오전 날씨 흐림,오후 날씨 흐림,20,28,30%,30%
영광,2026-06-20,오전 날씨 흐림,오후 날씨 흐림,22,28,40%,40%
영광,2026-06-21,오전 날씨 구름많음,오후 날씨 구름많음,20,27,20%,20%
영광,2026-06-22,오전 날씨 구름많음,오후 날씨 구름많음,19,27,20%,20%
영광,2026-06-23,오전 날씨 구름많음,오후 날씨 구름많음,18,27,20%,20%
영광,2026-06-24,날씨 구름많음,날씨 구름많음,18,27,20%,20%
영광,2026-06-25,날씨 맑음,날씨 맑음,18,27,10%,10%
영광,2026-06-26,날씨 구름많음,날씨 구름많음,18,28,20%,20%
당진,2026-06-17,오전 날씨 흐림,오후 날씨 구름많음,19,31,30%,10%
당진,2026-06-18,오전 날씨 맑음,오후 날씨 구름많음,19,30,10%,10%
당진,2026-06-19,오전 날씨 흐림,오후 날씨 흐림,19,32,30%,30%
당진,2026-06-20,오전 날씨 구름많음,오후 날씨 흐림,22,28,20%,30%
당진,2026-06-21,오전 날씨 구름많음,오후 날씨 구름많음,20,28,20%,20%
당진,2026-06-22,오전 날씨 구름많음,오후 날씨 구름많음,19,27,20%,20%
당진,2026-06-23,오전 날씨 구름많음,오후 날씨 구름많음,18,27,20%,20%
당진,2026-06-24,날씨 구름많음,날씨 구름많음,18,28,20%,20%
당진,2026-06-25,날씨 맑음,날씨 맑음,17,28,10%,10%
당진,2026-06-26,날씨 구름많음,날씨 구름많음,17,29,20%,20%
구미,2026-06-17,오전 날씨 구름많음,오후 날씨 소나기,19,32,20%,60%
구미,2026-06-18,오전 날씨 맑음,오후 날씨 구름많음,20,33,10%,20%
구미,2026-06-19,오전 날씨 흐림,오후 날씨 흐림,21,33,30%,30%
구미,2026-06-20,오전 날씨 흐림,오후 날씨 흐림,21,28,30%,30%
구미,2026-06-21,오전 날씨 구름많음,오후 날씨 구름많음,20,29,20%,20%
구미,2026-06-22,오전 날씨 구름많음,오후 날씨 구름많음,18,28,20%,20%
구미,2026-06-23,오전 날씨 구름많음,오후 날씨 구름많음,18,27,20%,20%
구미,2026-06-24,날씨 구름많음,날씨 구름많음,17,28,20%,20%
구미,2026-06-25,날씨 맑음,날씨 맑음,17,28,10%,10%
구미,2026-06-26,날씨 구름많음,날씨 구름많음,17,29,10%,10%
